,0
XGB_precision_rank1,1.2857142857142858
XGB_recall_rank1,1.7142857142857142
XGB_f1_rank1,1.7142857142857142
XGB_MCC_rank1,1.5
XGB_PRC_AUC_rank1,1.6428571428571428
LR_precision_rank1,2.642857142857143
LR_recall_rank1,2.142857142857143
LR_f1_rank1,2.357142857142857
LR_MCC_rank1,2.642857142857143
LR_PRC_AUC_rank1,2.2857142857142856
RF_precision_rank1,2.0714285714285716
RF_recall_rank1,2.142857142857143
RF_f1_rank1,1.9285714285714286
RF_MCC_rank1,1.8571428571428572
RF_PRC_AUC_rank1,2.0714285714285716
XGB_precision_rank2,1.1428571428571428
XGB_recall_rank2,1.7142857142857142
XGB_f1_rank2,1.4285714285714286
XGB_MCC_rank2,1.2857142857142858
XGB_PRC_AUC_rank2,1.5
LR_precision_rank2,2.9285714285714284
LR_recall_rank2,1.8571428571428572
LR_f1_rank2,2.357142857142857
LR_MCC_rank2,2.642857142857143
LR_PRC_AUC_rank2,2.4285714285714284
RF_precision_rank2,1.9285714285714286
RF_recall_rank2,2.4285714285714284
RF_f1_rank2,2.2142857142857144
RF_MCC_rank2,2.0714285714285716
RF_PRC_AUC_rank2,2.0714285714285716
